2026-06-25T14:14:57.049248 | chal | format_string | Hard | 0 | groq
2026-06-26T20:43:57.235147 | schooled | heap_exploitation | Hard | 0 | groq
2026-06-30T11:54:50.850095 | schooled | heap_exploitation | Hard | 0 | groq
2026-06-30T12:18:47.575248 | schooled | heap_exploitation | Hard | 0 | groq
2026-06-30T12:22:18.115507 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-01T22:22:58.387058 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-01T22:23:20.042024 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-01T22:26:56.222556 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-02T20:52:30.279096 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-02T20:58:45.256394 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-02T20:58:56.640263 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-03T16:31:54.936604 | schooled | heap_exploitation | Hard | 0 | groq
2026-07-03T16:34:17.644268 | chal | format_string | Hard | 0 | groq
2026-07-03T16:43:30.202617 | chal | format_string | Hard | 0 | groq
2026-07-04T18:23:42.897265 | chal | format_string | Hard | 0 | groq
2026-07-04T18:24:26.297108 | chal | format_string | Hard | 0 | groq
2026-07-06T15:55:02.153976 | chal | format_string | Hard | 0 | groq
2026-07-12T14:06:05.638547 | chal | format_string | Hard | 0 | groq
2026-07-12T14:48:54.173852 | chal | format_string | Hard | 0 | groq
2026-07-12T21:01:10.986416 | chal | format_string | Hard | 0 | groq
2026-07-12T21:11:32.066041 | chal | format_string | Hard | 0 | groq
